X;Y;fid;nazwa
512924.134455318;274909.003472604;"1";Korzeniec Park Zielona
513094.070326322;274440.735739172;"2";Korzeniec
513849.340864114;274484.163795095;"3";Korzeniec Pogoria III
514682.026632031;274416.189446694;"4";Dziewiąty
514997.352081559;275658.609481363;"5";Łęknice Osiedle
515412.750877345;276024.915692192;"6";Łęknice Zakładowa
514984.134847148;277178.591438671;"7";Kolonia Piekło
513350.862309171;277660.076406514;"8";Marianki
515554.364103181;273866.73013045;"9";Manhattan
