lat,lon,dist,time,speed
50.264369,18.995846,0.0,0,0.0
50.264369,18.995846,0.0,7,0.0
50.264409,18.995905,6.119999314432515,9,3.21925424627562
50.264495,18.995887,15.778783778072615,11,4.931838331572097
50.264572,18.995898,24.386051505430096,13,4.30363386367874
50.264638,18.995873,31.9454518332727,16,2.606498999649975
50.264698,18.995857,38.72096847801562,18,3.7049840014225555
50.264747,18.995873,44.29318350595215,19,5.920268601808679
50.264796,18.995892,49.91290500620188,20,5.619721500249734
50.264885,18.995878,59.8703017617606,23,3.4665024023199744
50.264955,18.99581,69.0428419113574,25,4.5862700747983975
50.265013,18.995793,75.6117224481886,26,6.64456104698871
50.265061,18.995805,81.02285952781523,27,5.4111370796266325
50.265139,18.995861,90.5765366364674,29,5.006814014330479
50.265222,18.995905,100.33214538282914,31,4.903363692713652
50.265312,18.995927,110.47247227044198,33,5.0701634438064245
50.265353,18.99594,115.12937594752847,34,4.656903677086497
50.265481,18.995981,129.67389023862134,37,4.85961699409651
50.265547,18.996018,137.47848580369615,39,3.934199789486585
50.265642,18.996071,148.70620088810986,41,5.636079888024369
50.265689,18.996104,154.44102362931307,42,6.073565005251978
50.265747,18.996129,161.13814936591805,43,6.697125736604984
50.265799,18.996155,167.21523638510158,44,6.39773292961881
50.265846,18.996279,177.47342998691101,46,5.153409938385561
50.265818,18.996364,184.27778595515352,48,3.4387228785756094
50.265775,18.996453,192.21636588056975,50,3.969289962708122
50.265737,18.996572,201.68202994683148,53,3.1727799975436604
50.265727,18.996605,204.28075922219992,54,2.5987292753684277
50.265697,18.996667,209.81402985304436,58,1.3833176577111135
50.265657,18.99672,215.6493328878014,61,1.9734561197003417
50.265625,18.996788,221.6579375091062,65,1.5021511553262
50.265593,18.996878,228.9862600936685,70,1.4792472667327234
50.265557,18.996943,235.1061998713907,74,1.5299849444305453
50.265528,18.997004,240.51575365525565,79,1.0819107567729904
50.265528,18.997004,240.51575365525565,87,0.0
50.265528,18.997004,240.51575365525565,88,0.0
50.265508,18.997077,246.16735911662389,565,0.012032272683477646
50.265413,18.99729,264.6489355093856,577,1.5491231076032392
50.265354,18.997344,272.25828212732137,578,7.674774000053089
50.265296,18.997424,280.8660695324658,579,8.607787405144455
50.265226,18.99752,291.2288622957199,580,10.410930498958882
50.264926,18.997911,334.69640343607347,584,10.869760613705832
50.264634,18.998338,379.19208676166886,588,11.123920831398854
50.264587,18.998472,390.0686303846269,589,10.876543622958033
50.264547,18.998598,400.0796208945347,590,10.010990509907794
50.264519,18.998734,410.24698376363807,591,10.167362869103359
50.264482,18.998868,420.63400921393645,592,10.38702545029841
50.264451,18.999002,430.7747423343728,593,10.140733120436312
50.264382,18.999274,451.59877348391024,595,10.45992678412361
50.264283,18.999693,483.3866275328749,598,10.601193145838092
50.264244,18.999954,502.4602456622525,600,9.549907179461478
50.26425,19.000325,528.8693261189145,603,8.80933551893449
50.264245,19.00045,537.7818161240335,604,8.912490005119052
50.264245,19.00056,545.6094978594627,605,7.891299091478677
50.264255,19.000658,552.67153799388,606,7.132489807922514
50.264264,19.000731,557.9620007969215,607,5.2904628030416125
50.264293,19.000806,564.1994524286979,609,3.118725815888205
50.264336,19.000756,570.1637161451068,615,1.1127099262470348
50.264344,19.000829,575.4342229070016,628,0.46650051546601257
50.264397,19.000924,584.4069692143571,630,4.514149318979174
50.264439,19.001105,598.1093420696452,632,6.86940721360544
50.264409,19.001266,610.0429925198946,633,11.975475484035629
50.26439,19.001433,622.1135522798423,634,12.070559759947741
50.264377,19.001597,633.873265028181,635,11.759712748338643
50.264364,19.001771,646.3394853982038,636,12.466220370022793
50.264344,19.001949,659.2002478496976,637,12.860762451493802
50.26422,19.002615,708.562620628274,641,12.340593194644102
50.264027,19.003181,754.2117247073477,645,11.412276019768427
50.263955,19.003328,767.389978570141,646,13.17825386279336
