lat,lon,dist,time,speed
50.264251,18.996006,0.0,0,0.0
50.264251,18.996006,0.0,1,0.0
50.264302,18.996044,6.288390203905013,6,1.2649455380619128
50.264326,18.996123,12.512632929633916,9,2.0747733077987953
50.264315,18.996233,20.43550215458644,12,2.6409884041080742
50.26429,18.996402,32.77946437488161,15,4.114826475294682
50.264381,18.996456,43.61387707737116,18,3.611789870346938
50.264432,18.996473,49.418625914018946,19,5.808510140867786
50.264502,18.996492,57.327416773579735,20,7.912371127561718
50.264565,18.996497,64.34956443653977,21,7.02546893811474
50.264631,18.996504,71.71351739384914,22,7.364295224762891
50.26469,18.996525,78.44922595131773,23,6.735815746526591
50.264752,18.996543,85.46888495306673,24,7.01965907297754
50.264812,18.99657,92.41890396369115,25,6.950024837944169
50.264877,18.996581,99.69688667906183,26,7.2781756921109375
50.264939,18.996597,106.69197551056821,27,6.995260449809227
50.265,18.996614,113.58937695382369,28,6.897554832650677
50.26506,18.996643,120.58007489792494,29,6.990708243494471
50.265126,18.996666,128.10724944937326,30,7.527178802710291
50.265253,18.996707,142.54272692828616,32,7.217750446714712
50.265322,18.996724,150.31844792788223,33,7.77648494266911
50.26538,18.996737,156.84091186057728,34,6.524575982644982
50.265431,18.996759,162.7300925762027,35,5.891326718260865
50.265488,18.996775,169.17664053612623,37,3.223448060679517
50.265527,18.996785,173.57603072466816,38,4.39958123359928
50.265577,18.996811,179.44144159048614,40,2.9331147533320086
50.265601,18.996905,186.64418075667712,44,1.8010909974266556
50.265556,18.997006,195.4047379696945,46,4.390815034892477
50.265513,18.997091,203.11818335007706,47,7.72893010941004
50.265457,18.99718,212.00469718850155,48,8.895511688515185
50.265399,18.997269,221.04878965277484,49,9.051334294032273
50.265342,18.997355,229.864243225269,50,8.822438590820587
50.265286,18.997437,238.40293464192388,51,8.544573723062824
50.265225,18.997518,247.3098589996313,52,8.912213558590365
50.26516,18.997599,256.5607494879434,53,9.255721248327598
50.265095,18.99768,265.8116448774183,54,9.254805589908873
50.265027,18.997761,275.326032927148,55,9.51805000831784
50.264957,18.997837,284.81122523791447,56,9.488102980692357
50.264894,18.997925,294.2132122297338,57,9.404799806180913
50.264837,18.998019,303.4330159455307,58,9.22167970371031
50.264786,18.998123,312.7604507199082,59,9.332098610187673
50.264742,18.998235,322.1151604365596,60,9.358462420868733
50.264701,18.998349,331.42319743777745,61,9.310058475436126
50.26466,18.998462,340.6692880656718,62,9.247307278296542
50.264619,18.998576,349.9773372393912,63,9.308062925248066
50.264579,18.998689,359.168999628824,64,9.191714664920447
50.264536,18.998798,368.283589274392,65,9.11467741651321
50.264495,18.998908,377.3446575843513,66,9.061128402012
50.264459,18.99902,386.2654451144419,67,8.920787754286046
50.26442,18.999131,395.2787425223611,68,9.01330012612491
50.264382,18.999238,403.9890691819159,69,8.710326716957974
50.264343,18.999345,412.7540033915499,70,8.764964386648257
50.264302,18.999452,421.63132822228783,71,8.8777128332942
50.264215,18.999795,447.89067067162875,74,8.75346465293573
50.2642,18.999916,456.66154259315834,75,8.771127821658732
50.264202,19.000163,474.2396719889548,77,8.789343448963685
50.264218,19.000285,483.1021100508837,78,8.862528330083139
50.264237,19.000403,491.7613601558541,79,8.659273201627842
50.264257,19.000521,500.4484679771921,80,8.688931251860133
50.264281,19.000638,509.19242389416013,81,8.74536529127748
50.264299,19.000756,517.8251478988836,82,8.633826946478047
50.264325,19.000869,526.3713232022508,83,8.547305617320678
50.264344,19.000982,534.6859832422202,84,8.317065082122701
50.264356,19.001094,542.7671407986778,85,8.085371262489504
50.264356,19.001206,550.7371254458707,86,7.978201506385411
50.264363,19.001321,558.9576066793838,87,8.227801693681165
50.264363,19.001437,567.2122324219891,88,8.259407191226405
50.264361,19.001556,575.6832664678394,89,8.475023174360949
50.264356,19.001679,584.4536969434994,90,8.773189313378866
50.264349,19.001798,592.9575840103654,91,8.505299538876386
50.26434,19.001913,601.202153211717,92,8.245861829783227
50.264323,19.002025,609.3937366782424,93,8.197831401599533
50.264308,19.002136,617.4671345983011,94,8.076788345351707
50.264289,19.002248,625.7130036531948,95,8.246499892102978
50.264271,19.002364,634.2073621806893,96,8.495164259366513
50.264247,19.002478,642.7482997966212,97,8.545299547660065
