lat,lon,dist,time,speed
50.264194,18.995921,0.0,0,0.0
50.264194,18.995921,0.0,2,0.0
50.264265,18.995937,7.985271642052246,4,4.006959327138339
50.26433,18.995919,15.333537058769267,6,3.8455963657968395
50.264355,18.995848,21.10170617011817,9,2.0971387623542808
50.264409,18.9958,28.015618941991633,12,2.3256161624891063
50.264473,18.995821,35.29510298807674,14,3.64397067006609
50.264508,18.995836,39.33485415998084,15,4.082032034526503
50.264591,18.995855,48.672772117203934,17,4.706026794861817
50.264682,18.995886,59.040253211709626,19,5.191569229166961
50.26473,18.995911,64.67195610906165,20,5.654568199610231
50.264827,18.995954,75.89512114675955,22,5.6223317774613
50.26493,18.995909,87.79978577958235,25,3.9708576742168535
50.265007,18.9959,96.39527872367184,27,4.369751107096729
50.265087,18.99593,105.55313277806844,29,4.639539736914334
50.265129,18.995955,110.55556506853998,30,5.024650517275038
50.265171,18.995986,115.72525665835505,31,5.204624398917247
50.265246,18.996059,125.55832804268978,33,4.968398052929703
50.26533,18.996102,135.39706736235917,35,4.919860577303197
50.265382,18.996118,141.2965868813952,36,6.049123866766762
50.265434,18.996137,147.24099648716265,37,5.962335914818968
50.265487,18.99616,153.3637284921374,38,6.185790830988561
50.265539,18.996181,159.3421131900683,39,6.003722561582453
50.265591,18.996197,165.24163174487134,40,5.899527030064835
50.26564,18.99621,170.77417206976236,41,5.53255803824462
50.265667,18.996219,173.84727093446628,42,3.077005302602605
50.265721,18.996255,180.3816034364093,44,3.3037804953548604
50.265755,18.996319,186.30320841537005,46,2.9623746609288224
50.265714,18.996483,198.83396838095248,49,4.176992821995848
50.265663,18.996577,207.60740520983916,51,4.388186493030614
50.265643,18.996618,211.27737060851618,52,3.6931307893827077
50.265624,18.996716,218.56461526439648,56,1.8250989472261487
50.265649,18.996852,228.63439633642398,59,3.356684323663639
50.265637,18.996955,236.08447760889015,61,3.7333202369456355
50.265624,18.997041,242.37290577270127,63,3.1586364847594006
50.265651,18.997101,247.59426361624307,65,2.613766139611354
50.265703,18.997134,253.8410422263372,67,3.132405944459056
50.265749,18.997151,259.1026858897948,69,2.6400879739699947
50.265775,18.997158,262.03954209978525,71,1.558282179048389
50.265749,18.997151,264.9763983558966,77,0.519427400259716
50.265752,18.997252,272.1711608267572,117,0.18969964419461977
50.26571,18.997317,278.747861748288,120,2.266387728210896
50.265624,18.997277,288.7355111061103,122,5.004617585160944
50.265583,18.997239,294.04048908155164,123,5.339933643774762
50.265544,18.997192,299.5207914112914,125,2.7448476563076754
50.265521,18.997161,302.9003599871322,127,1.8433131013755408
50.26548,18.997129,308.00095952775536,130,1.7064570077536823
50.264843,18.997904,397.8324716536568,137,12.83663286865414
50.264757,18.998087,413.99511743363496,138,16.162645903720282
50.264691,18.998257,428.1486414368601,139,14.190302417844022
50.264633,18.998419,441.3615266355034,140,13.217788592367803
50.264573,18.998591,455.304920036538,141,13.986401808042547
50.264514,18.998757,468.82063550724945,142,13.58578112164436
50.264459,18.998907,481.125980660966,143,12.305350070278148
50.26441,18.999055,492.98646518695,144,11.860486043628486
50.264347,18.999195,505.1698565291393,145,12.208590442673271
50.264295,18.999339,516.9389621730861,146,11.776455479403875
50.264268,18.999484,527.6861088174567,147,11.238865823365142
50.264238,18.999616,537.6553313554552,148,9.970688993852892
50.264216,18.999759,548.1218763650692,149,10.468651510021493
50.26421,18.999906,558.6038150081781,150,10.481976040704376
50.264197,19.000056,569.3755900691853,151,10.776177521038456
50.264195,19.00022,581.048087660487,152,11.690304744485736
50.264285,19.000787,622.6214590392233,155,13.85794290006969
50.264326,19.00099,637.7709323423647,156,15.165315373001496
50.264341,19.001178,651.2529294940975,157,13.484277926508778
50.264337,19.00136,664.2118120317343,158,12.966114515315256
50.264328,19.001543,677.2726880058718,159,13.063666453633964
50.26432,19.00172,689.8995636766457,160,12.639554786668
50.264306,19.001898,702.6616752940708,161,12.81301580173915
50.264274,19.002063,714.9316640014958,162,12.274922683273342
50.264209,19.002384,738.8929122689542,164,12.099653037740122
50.264176,19.002524,749.5111368701112,165,10.678607103953915
50.264152,19.002666,759.9632039443197,166,10.51657145289067
50.264084,19.002905,778.5791903760731,168,9.330072880573155
50.264038,19.00301,787.6373899686645,169,9.25841265332359
